data_entrada, data_entrega, cliente, firma, op, referencia, FT/FTD/FE, desenhista, status
2024-01-15,2024-02-15,Cliente A,Firma X,OP123,Ref001,FT,Desenhista 1,Em andamento
2024-01-20,2024-02-20,Cliente B,Firma Y,OP124,Ref002,FE,Desenhista 2,Pendente
2024-01-25,2024-02-25,Cliente C,Firma Z,OP125,Ref003,FTD,Desenhista 3,Concluído
2024-01-30,2024-02-28,Cliente D,Firma W,OP126,Ref004,FT,Desenhista 4,Em andamento
2024-02-05,2024-03-05,Cliente E,Firma V,OP127,Ref005,FE,Desenhista 5,Pendente
JN,JNJ,NJ,N,JIKJ,K
JN,JNJ,NJ,N,JIKJ,K
ijdi,jdij,ijdi,jijdij,diji,di
ondojnqodnqo,onfeonoi,nijfenoijfiuiqomo,oioiueqhdnodqn,odnojqndoq,oo
ondojnqodnqo,onfeonoi,nijfenoijfiuiqomo,oioiueqhdnodqn,odnojqndoq,oo
iun,iuniu,niu,niu,iu,ujjunjdniusnc22222222222
,,,,,
KBJ,NB,JNB,JB,JB,JB
KBJ,NB,JNB,JB,JB,JB
KBJ,NB,JNB,JB,JB,JB
jndj,ndj,njdnj,ndj,ndj,dnd
bhb,hb,hb,h,b hj,9999999999999999999
,,,,,
